Left Bank: 0 missionaries, 0 cannibal, 0 boat  Right Bank: 10 missionaries, 8 cannibals, 1 boat
Left Bank: 2 missionaries, 0 cannibal, 1 boat  Right Bank: 8 missionaries, 8 cannibals, 0 boat
Left Bank: 1 missionaries, 0 cannibal, 0 boat  Right Bank: 9 missionaries, 8 cannibals, 1 boat
Left Bank: 2 missionaries, 1 cannibal, 1 boat  Right Bank: 8 missionaries, 7 cannibals, 0 boat
Left Bank: 1 missionaries, 1 cannibal, 0 boat  Right Bank: 9 missionaries, 7 cannibals, 1 boat
Left Bank: 3 missionaries, 1 cannibal, 1 boat  Right Bank: 7 missionaries, 7 cannibals, 0 boat
Left Bank: 2 missionaries, 1 cannibal, 0 boat  Right Bank: 8 missionaries, 7 cannibals, 1 boat
Left Bank: 3 missionaries, 2 cannibal, 1 boat  Right Bank: 7 missionaries, 6 cannibals, 0 boat
Left Bank: 2 missionaries, 2 cannibal, 0 boat  Right Bank: 8 missionaries, 6 cannibals, 1 boat
Left Bank: 4 missionaries, 2 cannibal, 1 boat  Right Bank: 6 missionaries, 6 cannibals, 0 boat
Left Bank: 3 missionaries, 2 cannibal, 0 boat  Right Bank: 7 missionaries, 6 cannibals, 1 boat
Left Bank: 4 missionaries, 3 cannibal, 1 boat  Right Bank: 6 missionaries, 5 cannibals, 0 boat
Left Bank: 3 missionaries, 3 cannibal, 0 boat  Right Bank: 7 missionaries, 5 cannibals, 1 boat
Left Bank: 5 missionaries, 3 cannibal, 1 boat  Right Bank: 5 missionaries, 5 cannibals, 0 boat
Left Bank: 4 missionaries, 3 cannibal, 0 boat  Right Bank: 6 missionaries, 5 cannibals, 1 boat
Left Bank: 5 missionaries, 4 cannibal, 1 boat  Right Bank: 5 missionaries, 4 cannibals, 0 boat
Left Bank: 4 missionaries, 4 cannibal, 0 boat  Right Bank: 6 missionaries, 4 cannibals, 1 boat
Left Bank: 6 missionaries, 4 cannibal, 1 boat  Right Bank: 4 missionaries, 4 cannibals, 0 boat
Left Bank: 5 missionaries, 4 cannibal, 0 boat  Right Bank: 5 missionaries, 4 cannibals, 1 boat
Left Bank: 6 missionaries, 5 cannibal, 1 boat  Right Bank: 4 missionaries, 3 cannibals, 0 boat
Left Bank: 5 missionaries, 5 cannibal, 0 boat  Right Bank: 5 missionaries, 3 cannibals, 1 boat
Left Bank: 7 missionaries, 5 cannibal, 1 boat  Right Bank: 3 missionaries, 3 cannibals, 0 boat
Left Bank: 6 missionaries, 5 cannibal, 0 boat  Right Bank: 4 missionaries, 3 cannibals, 1 boat
Left Bank: 7 missionaries, 6 cannibal, 1 boat  Right Bank: 3 missionaries, 2 cannibals, 0 boat
Left Bank: 6 missionaries, 6 cannibal, 0 boat  Right Bank: 4 missionaries, 2 cannibals, 1 boat
Left Bank: 8 missionaries, 6 cannibal, 1 boat  Right Bank: 2 missionaries, 2 cannibals, 0 boat
Left Bank: 7 missionaries, 6 cannibal, 0 boat  Right Bank: 3 missionaries, 2 cannibals, 1 boat
Left Bank: 8 missionaries, 7 cannibal, 1 boat  Right Bank: 2 missionaries, 1 cannibals, 0 boat
Left Bank: 7 missionaries, 7 cannibal, 0 boat  Right Bank: 3 missionaries, 1 cannibals, 1 boat
Left Bank: 9 missionaries, 7 cannibal, 1 boat  Right Bank: 1 missionaries, 1 cannibals, 0 boat
Left Bank: 8 missionaries, 7 cannibal, 0 boat  Right Bank: 2 missionaries, 1 cannibals, 1 boat
Left Bank: 10 missionaries, 7 cannibal, 1 boat  Right Bank: 0 missionaries, 1 cannibals, 0 boat
Left Bank: 9 missionaries, 7 cannibal, 0 boat  Right Bank: 1 missionaries, 1 cannibals, 1 boat
Left Bank: 10 missionaries, 8 cannibal, 1 boat  Right Bank: 0 missionaries, 0 cannibals, 0 boat
The number of nodes on solution is 34
The number of explored node is 68
